datetime,portfolio_value,cash,positions,return
2021-06-04 12:30:00-04:00,101294.25970077515,10.167465209960938,"[{'asset': USD, 'quantity': 10.167465209960938}, {'asset': TQQQ, 'quantity': 2013.0}]",0.0
2021-06-04 13:30:00-04:00,101294.25970077515,10.167465209960938,"[{'asset': USD, 'quantity': 10.167465209960938}, {'asset': TQQQ, 'quantity': 2013.0}]",0.0
2021-06-04 14:30:00-04:00,101294.25970077515,10.167465209960938,"[{'asset': USD, 'quantity': 10.167465209960938}, {'asset': TQQQ, 'quantity': 2013.0}]",0.0
2021-06-04 15:30:00-04:00,101294.25970077515,10.167465209960938,"[{'asset': USD, 'quantity': 10.167465209960938}, {'asset': TQQQ, 'quantity': 2013.0}]",0.0
2021-06-04 16:30:00-04:00,101294.25970077515,10.167465209960938,"[{'asset': USD, 'quantity': 10.167465209960938}, {'asset': TQQQ, 'quantity': 2013.0}]",0.0
2021-06-04 16:29:00-04:00,101294.25970077515,10.167465209960938,"[{'asset': USD, 'quantity': 10.167465209960938}, {'asset': TQQQ, 'quantity': 2013.0}]",0.0
2021-06-07 08:30:00-04:00,104112.46277236938,10.167465209960938,"[{'asset': USD, 'quantity': 10.167465209960938}, {'asset': TQQQ, 'quantity': 2013.0}]",0.027821942525857457
2021-06-07 09:30:00-04:00,104112.46277236938,10.167465209960938,"[{'asset': USD, 'quantity': 10.167465209960938}, {'asset': TQQQ, 'quantity': 2013.0}]",0.0
2021-06-07 09:30:00-04:00,104112.46277236938,10.167465209960938,"[{'asset': USD, 'quantity': 10.167465209960938}, {'asset': TQQQ, 'quantity': 2013.0}]",0.0
2021-06-07 10:30:00-04:00,104112.46277236938,10.167465209960938,"[{'asset': USD, 'quantity': 10.167465209960938}, {'asset': TQQQ, 'quantity': 2013.0}]",0.0
2021-06-07 11:30:00-04:00,104112.46277236938,10.167465209960938,"[{'asset': USD, 'quantity': 10.167465209960938}, {'asset': TQQQ, 'quantity': 2013.0}]",0.0
2021-06-07 12:30:00-04:00,104112.46277236938,10.167465209960938,"[{'asset': USD, 'quantity': 10.167465209960938}, {'asset': TQQQ, 'quantity': 2013.0}]",0.0
2021-06-07 13:30:00-04:00,104112.46277236938,10.167465209960938,"[{'asset': USD, 'quantity': 10.167465209960938}, {'asset': TQQQ, 'quantity': 2013.0}]",0.0
2021-06-07 14:30:00-04:00,104112.46277236938,10.167465209960938,"[{'asset': USD, 'quantity': 10.167465209960938}, {'asset': TQQQ, 'quantity': 2013.0}]",0.0
2021-06-07 15:30:00-04:00,104112.46277236938,10.167465209960938,"[{'asset': USD, 'quantity': 10.167465209960938}, {'asset': TQQQ, 'quantity': 2013.0}]",0.0
2021-06-07 16:30:00-04:00,104112.46277236938,10.167465209960938,"[{'asset': USD, 'quantity': 10.167465209960938}, {'asset': TQQQ, 'quantity': 2013.0}]",0.0
2021-06-07 16:29:00-04:00,104112.46277236938,10.167465209960938,"[{'asset': USD, 'quantity': 10.167465209960938}, {'asset': TQQQ, 'quantity': 2013.0}]",0.0
2021-06-08 08:30:00-04:00,107282.9393081665,10.167465209960938,"[{'asset': USD, 'quantity': 10.167465209960938}, {'asset': TQQQ, 'quantity': 2013.0}]",0.030452420885759057
2021-06-08 09:30:00-04:00,107282.9393081665,10.167465209960938,"[{'asset': USD, 'quantity': 10.167465209960938}, {'asset': TQQQ, 'quantity': 2013.0}]",0.0
2021-06-08 09:30:00-04:00,107282.9393081665,10.167465209960938,"[{'asset': USD, 'quantity': 10.167465209960938}, {'asset': TQQQ, 'quantity': 2013.0}]",0.0
2021-06-08 10:30:00-04:00,107282.9393081665,10.167465209960938,"[{'asset': USD, 'quantity': 10.167465209960938}, {'asset': TQQQ, 'quantity': 2013.0}]",0.0
