time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2023-09-20 09:30:00-04:00,MovingAverageCrossover,7e8c6f2275664d6e8dda38f594bc6def,TQQQ,sell,market,new,1,gtc,0.0,1,stock,,,
2023-09-20 09:30:00-04:00,MovingAverageCrossover,7e8c6f2275664d6e8dda38f594bc6def,TQQQ,sell,market,fill,1,gtc,0.0,1,stock,39.77000045776367,3149.0,0.0
2023-10-12 09:30:00-04:00,MovingAverageCrossover,d71c4a666223462ca100e1f345ad3342,TQQQ,buy,market,new,1,gtc,0.0,1,stock,,,
2023-10-12 09:30:00-04:00,MovingAverageCrossover,d71c4a666223462ca100e1f345ad3342,TQQQ,buy,market,fill,1,gtc,0.0,1,stock,39.470001220703125,3173.0,0.0
2023-10-24 09:30:00-04:00,MovingAverageCrossover,6f028edddf5f472496d0e3d4f1c499db,TQQQ,sell,market,new,1,gtc,0.0,1,stock,,,
2023-10-24 09:30:00-04:00,MovingAverageCrossover,6f028edddf5f472496d0e3d4f1c499db,TQQQ,sell,market,fill,1,gtc,0.0,1,stock,34.900001525878906,3173.0,0.0
2023-11-07 09:30:00-05:00,MovingAverageCrossover,ae7e6e15329d4d21b1e90b3082265d90,TQQQ,buy,market,new,1,gtc,0.0,1,stock,,,
2023-11-07 09:30:00-05:00,MovingAverageCrossover,ae7e6e15329d4d21b1e90b3082265d90,TQQQ,buy,market,fill,1,gtc,0.0,1,stock,38.349998474121094,2887.0,0.0
2024-01-08 09:30:00-05:00,MovingAverageCrossover,92e7707095104e54bbe651bb58336dab,TQQQ,sell,market,new,1,gtc,0.0,1,stock,,,
2024-01-08 09:30:00-05:00,MovingAverageCrossover,92e7707095104e54bbe651bb58336dab,TQQQ,sell,market,fill,1,gtc,0.0,1,stock,46.38999938964844,2887.0,0.0
2024-01-16 09:30:00-05:00,MovingAverageCrossover,8d4e8cb0fe1242338f3c67a4e955d85a,TQQQ,buy,market,new,1,gtc,0.0,1,stock,,,
2024-01-16 09:30:00-05:00,MovingAverageCrossover,8d4e8cb0fe1242338f3c67a4e955d85a,TQQQ,buy,market,fill,1,gtc,0.0,1,stock,49.880001068115234,2698.0,0.0
2024-03-20 09:30:00-04:00,MovingAverageCrossover,98b47fd66c584d7690f2e50de1a73e37,TQQQ,sell,market,new,1,gtc,0.0,1,stock,,,
2024-03-20 09:30:00-04:00,MovingAverageCrossover,98b47fd66c584d7690f2e50de1a73e37,TQQQ,sell,market,fill,1,gtc,0.0,1,stock,60.06999969482422,2698.0,0.0
2024-03-25 09:30:00-04:00,MovingAverageCrossover,41ce72638d7c4683b8030eb909a87f03,TQQQ,buy,market,new,1,gtc,0.0,1,stock,,,
2024-03-25 09:30:00-04:00,MovingAverageCrossover,41ce72638d7c4683b8030eb909a87f03,TQQQ,buy,market,fill,1,gtc,0.0,1,stock,61.47999954223633,2636.0,0.0
2024-04-05 09:30:00-04:00,MovingAverageCrossover,d58b8b0e156e474e849161dd0d0ad225,TQQQ,sell,market,new,1,gtc,0.0,1,stock,,,
2024-04-05 09:30:00-04:00,MovingAverageCrossover,d58b8b0e156e474e849161dd0d0ad225,TQQQ,sell,market,fill,1,gtc,0.0,1,stock,58.400001525878906,2636.0,0.0
2024-05-08 09:30:00-04:00,MovingAverageCrossover,97ddd346c09246ddbdace4d7289e3cbc,TQQQ,buy,market,new,1,gtc,0.0,1,stock,,,
2024-05-08 09:30:00-04:00,MovingAverageCrossover,97ddd346c09246ddbdace4d7289e3cbc,TQQQ,buy,market,fill,1,gtc,0.0,1,stock,57.5,2677.0,0.0
